0,1,80,0,0,0,20,1600,1900
0,2,80,0,0,0,20,1600,1900
0,3,80,0,0,0,20,1600,1900
0,4,80,0,0,0,20,1600,1900
0,5,80,0,0,0,20,1600,1900
0,6,80,0,0,0,20,1600,1900
0,7,80,0,0,0,20,1600,1900
0,8,80,0,0,0,20,1600,1900
0,9,80,0,0,0,20,1600,1900
0,10,80,0,0,0,20,1600,1900
0,11,80,0,0,0,20,1600,1900
0,12,80,0,0,0,20,1600,1900
53,1,20,20,30,5,25,1600,1700
53,2,20,20,30,5,25,1630,1730
53,3,25,25,25,0,25,1700,1800
53,4,40,25,15,0,20,1800,1900
53,5,45,25,10,0,20,1900,2000
53,6,45,25,10,0,20,2000,2100
53,7,50,25,10,0,15,2000,2100
53,8,40,25,20,0,15,1900,2000
53,9,35,25,20,0,20,1800,1900
53,10,35,25,25,0,15,1700,1800
53,11,25,25,25,0,25,1630,1730
53,12,20,20,25,5,30,1600,1700
372,1,5,5,10,30,50,1500,1600
372,2,6,10,17,27,40,1600,1700
372,3,6,13,22,19,40,1730,1830
372,4,6,18,39,4,33,1830,1900
372,5,8,15,44,1,32,1930,2030
372,6,11,29,43,0,17,2000,2100
372,7,15,27,48,0,10,1930,2030
372,8,11,29,43,0,17,1830,1930
372,9,8,15,44,1,32,1730,1830
372,10,4,15,39,4,38,1630,1730
372,11,1,10,17,27,45,1530,1630
372,12,0,5,10,35,50,1500,1600
403,1,17,17,27,9,30,1530,1630
403,2,19,17,31,6,27,1630,1730
403,3,21,16,33,7,23,1730,1830
403,4,30,19,35,0,16,1900,2000
403,5,41,19,30,0,10,2000,2100
403,6,52,17,23,0,8,2030,2130
403,7,60,16,20,0,4,2030,2130
403,8,57,12,25,0,6,1930,2030
403,9,47,12,31,0,10,1830,1930
403,10,29,14,47,0,10,1700,1800
403,11,14,13,44,7,22,1530,1630
403,12,15,16,30,9,30,1530,1630
436,1,15,5,25,25,30,1500,1600
436,2,15,5,35,15,30,1530,1630
436,3,15,5,35,15,30,1600,1700
436,4,25,15,35,5,20,1700,1800
436,5,35,20,30,0,15,1800,1900
436,6,40,25,15,0,20,1900,2000
436,7,50,20,15,0,15,1900,2000
436,8,35,20,20,0,25,1800,1900
436,9,25,20,30,0,25,1700,1800
436,10,15,15,35,0,35,1600,1700
436,11,10,15,30,15,30,1530,1630
436,12,10,15,30,25,20,1500,1600
465,1,20,20,30,5,25,1600,1700
465,2,20,20,30,5,25,1630,1730
465,3,25,25,25,0,25,1700,1800
465,4,40,25,15,0,20,1800,1900
465,5,45,25,10,0,20,1900,2000
465,6,45,25,10,0,20,2000,2100
465,7,50,25,10,0,15,2000,2100
465,8,40,25,20,0,15,1900,2000
465,9,35,25,20,0,20,1800,1900
465,10,35,25,25,0,15,1700,1800
465,11,25,25,25,0,25,1630,1730
465,12,20,20,25,5,30,1600,1700
815,1,20,10,20,10,40,1530,1630
815,2,20,10,30,10,30,1600,1700
815,3,30,30,20,0,20,1700,1800
815,4,45,25,20,0,10,1830,1930
815,5,50,20,30,0,0,1930,2030
815,6,66,24,10,0,0,2000,2100
815,7,74,16,10,0,0,2000,2100
815,8,68,22,10,0,0,1900,2000
815,9,50,20,30,0,0,1800,1900
815,10,40,30,20,0,10,1700,1800
815,11,30,30,20,0,20,1530,1630
815,12,20,10,20,10,40,1500,1600
899,1,3,14,22,26,35,1500,1600
899,2,5,22,16,29,28,1530,1630
899,3,13,16,43,7,21,1600,1700
899,4,18,21,45,2,14,1700,1800
899,5,30,15,48,0,7,1800,1900
899,6,39,11,48,0,2,1900,2000
899,7,52,11,36,0,1,1900,2000
899,8,46,16,35,0,3,1800,1900
899,9,33,18,41,0,8,1700,1800
899,10,11,25,39,2,23,1600,1700
899,11,2,15,38,14,31,1530,1630
899,12,1,8,38,30,23,1500,1600
993,1,14,20,41,5,20,1545,1645
993,2,14,19,41,4,22,1630,1730
993,3,17,22,33,3,25,1730,1830
993,4,25,25,30,0,20,1930,2030
993,5,35,23,24,0,18,2015,2115
993,6,40,24,16,0,20,2100,2200
993,7,43,20,17,0,20,2045,2145
993,8,37,25,18,0,20,1945,2045
993,9,35,23,22,0,20,1845,1945
993,10,30,25,30,0,15,1730,1830
993,11,22,25,30,0,23,1530,1630
993,12,15,20,35,5,25,1515,1615
1013,1,20,10,30,20,20,1600,1700
1013,2,30,20,30,0,20,1630,1730
