1,0,1369
1,1,1335
1,2,1318
1,3,1354
1,4,1362
1,5,-1
1,6,-1
1,7,-1
54,0,1343
54,1,1318
75,0,-1
75,1,-1
75,2,-1
75,3,-1
75,4,-1
75,5,-1
75,6,-1
75,7,-1
75,8,-1
75,9,-1
75,10,-1
75,11,-1
75,12,-1
75,13,-1
75,14,-1
75,15,-1
91,0,73
190,0,18
190,1,11
269,0,5
269,1,449
343,0,116009
373,0,111822
373,1,2017
391,0,209
391,1,191
391,2,256
391,3,111822
391,4,254
391,5,110720
397,0,254
404,0,231
404,1,229
426,0,2014
426,1,231
426,2,673
426,3,229
432,0,670
437,0,819
437,1,270
455,0,819
455,1,1516
455,2,269
455,3,1786
455,4,1788
455,5,271
461,0,270
469,0,1799
469,1,10
585,0,13
776,0,9
776,1,1
776,2,10
776,3,5
776,4,13
776,5,2
776,6,14
776,7,1808
776,8,1943
776,9,1925
776,10,144
812,0,116009
812,1,116010
812,2,116012
819,0,73
819,1,379
874,0,73
874,1,219
874,2,69
874,3,72
874,4,65
874,5,66
874,6,76
874,7,64
874,8,378
874,9,1809
874,10,57
889,0,116033
889,1,116034
889,2,116035
905,0,36
905,1,159
971,0,21
971,1,32
971,2,1824
971,3,22
971,4,25
971,5,169
971,6,112172
971,7,38
971,8,36
990,0,115995
990,1,115998
990,2,115997
994,0,423
994,1,305
1010,0,306
1010,1,422
1010,2,445
1010,3,423
1010,4,563
1010,5,305
1010,6,834
1022,0,189
1022,1,131681
1076,0,48
1076,1,131682
1076,2,115845
1076,3,45
1076,4,52
1076,5,110374
1076,6,115841
1076,7,131681
1076,8,189
1094,0,100632
1094,1,1906
1119,0,247
1119,1,245
1119,2,246
1119,3,1903
1119,4,1906
1119,5,1908
1119,6,100632
1119,7,1910
1119,8,1913
1119,9,1914
1123,0,417
1123,1,918
1145,0,918
1145,1,417
1145,2,300
1145,3,920
1145,4,298
1149,0,1871
1149,1,110746
1177,0,873
1177,1,114326
1177,2,110745
1177,3,110746
1177,4,1871
1181,0,237
1181,1,234
1206,0,237
1206,1,234
1206,2,236
1206,3,1896
1206,4,1438
1206,5,1887
1206,6,112809
1206,7,10020
1206,8,114510
1206,9,1900
1210,0,114385
1210,1,114147
1234,0,100761
1234,1,114385
1234,2,308
1234,3,110751
1234,4,310
1240,0,100757
1247,0,77
1247,1,78
1275,0,78
1275,1,86
1275,2,81
1275,3,181
1275,4,77
1275,5,100805
1290,0,241
1290,1,243
1390,0,241
1390,1,243
1390,2,240
1390,3,448
1390,4,483
1390,5,449
1390,6,450
1390,7,480
1390,8,479
1390,9,453
1404,0,116325
1404,1,116326
1404,2,116327
1408,0,320
1408,1,708
1426,0,320
1426,1,433
1426,2,710
1426,3,700
1426,4,708
1426,5,1870
1430,0,896
1430,1,900
1448,0,896
1448,1,324
1448,2,900
1448,3,10032
1448,4,1862
1455,0,325
1455,1,436
1480,0,325
1480,1,326
1480,2,748
1480,3,327
1480,4,101014
1480,5,131174
1480,6,436
1480,7,101026
1480,8,101037
1480,9,111339
1566,0,116302
1584,0,605
1606,0,111396
1606,1,111766
1606,2,111397
1622,0,111724
1622,1,112540
1622,2,111769
1622,3,111768
1626,0,114168
1626,1,113301
1626,2,113146
1638,0,1477
1638,1,1473
1638,2,2056
1638,3,1478
1645,0,607
1645,1,605
1645,2,112139
1645,3,112391
1645,4,112387
1645,5,111674
1645,6,112096
1645,7,112393
1656,0,517
1715,0,101085
1778,0,1876
1778,1,111710
1778,2,112670
1778,3,1877
1778,4,101088
1778,5,110404
1778,6,111711
1778,7,110093
1778,8,110395
1778,9,101084
1778,10,111716
1778,11,111022
1778,12,111019
1778,13,101085
1801,0,1876
1801,1,111710
1801,2,112670
1801,3,1877
1801,4,101088
1801,5,110404
1801,6,111711
1801,7,110093
1801,8,110395
1801,9,101084
1801,10,111716
1801,11,111022
1801,12,111019
1801,13,101085
1836,0,113009
