24,172,1,1,1,1200
24,172,1,1,1,1400
24,176,2,1,1,1600
24,177,2,1,1,1200
24,182,3,2,2,1600
25,172,1,1,1,1600
25,172,1,1,1,1800
25,177,2,1,1,1400
25,177,2,1,1,1600
25,182,3,2,2,1600
26,173,1,1,1,1200
26,173,1,1,1,1400
26,178,2,1,1,1200
26,178,2,1,1,1400
26,183,3,2,2,1600
27,173,1,1,1,1600
27,173,1,1,1,1800
27,178,2,1,1,1600
27,179,2,1,1,1200
27,183,3,2,2,1600
28,174,1,1,1,1200
28,174,1,1,1,1400
28,179,2,1,1,1400
28,179,2,1,1,1600
28,184,3,2,2,1600
29,174,1,1,1,1600
29,175,1,1,1,1200
29,180,2,1,1,1200
29,180,2,1,1,1400
29,184,3,2,2,1600
33,186,1,1,1,1900
34,186,1,1,1,2045
35,187,1,1,1,1900
36,187,1,1,1,2045
37,188,1,1,1,1900
38,188,1,1,1,2045
39,189,1,1,1,1900
40,189,1,1,1,2045
42,193,1,1,1,1900
43,193,1,1,1,2045
44,194,1,1,1,1900
45,194,1,1,1,2045
47,198,1,1,1,2045
48,199,1,1,1,2045
50,202,1,1,1,2045
52,203,1,1,1,2045
61,174,1,1,1,1800
61,174,1,1,1,2045
61,178,2,1,1,1800
61,178,2,1,1,2045
61,182,3,2,2,2045
62,175,1,1,1,1900
62,175,1,1,1,2145
62,179,2,1,1,1900
62,179,2,1,1,2145
62,183,3,2,2,2145
63,176,1,1,1,1800
63,176,1,1,1,2045
63,180,2,1,1,1800
63,180,2,1,1,2045
63,184,3,2,2,2045
64,177,1,1,1,1900
64,177,1,1,1,2145
64,181,2,1,1,1900
64,181,2,1,1,2145
64,185,3,2,2,2145
66,186,1,1,1,2045
67,187,1,1,1,2045
68,188,1,1,1,2145
69,189,1,1,1,2145
71,192,1,1,1,2145
72,193,1,1,1,2045
74,196,1,1,1,2145
86,257,1,10,10,1945
86,258,1,10,10,1800
86,261,2,20,20,1945
86,292,3,10,10,1945
86,293,3,10,10,1800
86,296,4,20,20,1945
86,327,5,10,10,1945
86,328,5,10,10,1800
86,331,6,20,20,1945
86,451,7,20,20,1945
86,454,8,10,10,1800
86,455,8,10,10,1945
86,622,9,20,20,1800
86,625,10,20,20,1945
89,227,1,1,1,2000
107,219,1,5,5,2000
107,220,1,5,5,2000
107,226,2,10,10,2000
123,233,1,3,5,2000
123,234,1,3,5,2000
123,240,2,3,5,2000
123,241,2,3,5,2000
135,261,1,1,1,1755
135,261,1,1,8,2000
135,262,1,1,1,1755
135,262,1,1,8,2000
135,275,2,1,1,1755
135,275,2,1,8,2000
135,276,2,1,1,1755
